project,t_scop,t_total,dyncov
n-body.simple,4042013,6680000.0,60.5091766467066
sgefa.simple,753442,1140000.0,66.0914035087719
fhourstones3.1.simple,82868444,144390000.0,57.3920936352933
hash2.simple,37105688,55740000.0,66.5692285611769
stepanov_vector.simple,9125500,15310000.0,59.6048334421946
ccrypt,76479,800000.0,9.559875
Searching-dbl.simple,2110654,3580000.0,58.9568156424581
uudecode.simple,149,17050000.0,0.000873900293255132
allroots.simple,102,50000.0,0.204
chomp.simple,787616,3720000.0,21.1724731182796
IntMM.simple,10563,80000.0,13.20375
Queens.simple,3367,70000.0,4.81
InductionVariable-flt.simple,1870869,2800000.0,66.81675
433.milc.simple,203447159,205860000.0,98.8279214028952
bisort.simple,42397716,69900000.0,60.6548154506438
bzip2,922593478,353400000.0,261.062104697227
flops-4.simple,634893,700000.0,90.699
random.simple,166,3920000.0,0.00423469387755102
Recurrences-flt.simple,3564914,3640000.0,97.9371978021978
linpack,13362295,26890000.0,49.6924321309037
ReedSolomon.simple,33584699,97620000.0,34.4035023560746
dt.simple,627711,690000.0,90.9726086956522
viterbi.simple,53557839,149340000.0,35.8630233025311
NodeSplitting-flt.simple,2643290,2740000.0,96.4704379562044
LinearDependence-dbl.simple,3333978,3450000.0,96.6370434782609
Expansion-dbl.simple,2869012,3440000.0,83.401511627907
bh.simple,130855830,174810000.0,74.8560322636005
xz,9133152426,3907690000.0,233.722542627486
LoopRerolling-flt.simple,2404818,2660000.0,90.4066917293233
spellcheck.simple,81,60000.0,0.135
cdecl.simple,15348,80000.0,19.185
mybison.simple,25201,120000.0,21.0008333333333
lpbench.simple,8295367,13920000.0,59.5931537356322
flops-7.simple,1459054,1520000.0,95.9903947368421
deriv2.simple,116,60000.0,0.193333333333333
consumer-lame.simple,15057648,17040000.0,88.3664788732394
trisolv.simple,93488,150000.0,62.3253333333333
LoopRestructuring-dbl.simple,4157758,4230000.0,98.2921513002364
spectral-norm.simple,89,810000.0,0.0109876543209877
sphereflake.simple,1238275,6270000.0,19.7492025518341
office-stringsearch.simple,964,60000.0,1.60666666666667
StatementReordering-flt.simple,2249565,2340000.0,96.1352564102564
oourafft.simple,54634936,34370000.0,158.961117253419
dynprog.simple,169307,230000.0,73.6117391304348
analyzer.simple,800231,2450000.0,32.6624897959184
garage.simple,103,60000.0,0.171666666666667
clamscan.simple,883837,880000.0,100.436022727273
